study_hours,sleep_hours,attendance,previous_score,stress_level,final_score
5.993428306022466,5.982257904269167,80.82502053967538,28.87874408756241,4,70.96404362580323
4.72347139765763,6.541750805419521,50.0,100.0,8,74.25034140692165
6.295377076201385,6.103928408432286,50.0,65.69041729664686,3,82.3723458614278
8.046059712816051,7.16562707041918,50.0,67.1564839502275,6,82.29134279884225
4.531693250553328,8.79576779719287,50.0,69.0997564153954,6,62.765606707485375
4.531726086101639,5.843436764288193,71.04624753934755,75.77808149260271,3,79.58450178120113
8.158425631014783,8.50123074665262,82.67286681864758,69.99605198099735,2,100.0
6.534869458305818,5.827491891479669,50.0,67.99907216744099,6,76.98915327377773
4.061051228130096,5.728559181254674,55.275200969790774,89.63377464034278,7,79.27045424910546
6.085120087171929,8.22789192751482,65.21013429700601,78.48394119626275,7,82.57206200732821
4.0731646143750755,8.382904567011424,50.0,55.617942184438576,10,53.57504987869767
4.068540492859486,8.277114905143982,53.43261081432105,81.11010871503586,1,82.2042125227791
5.483924543132068,5.026303887672788,50.0,77.86160504775009,6,67.73531787727855
1.1734395106844042,6.301073532891924,50.0,61.820894116281714,9,37.83197086669043
1.5501643349739345,8.234482888004981,50.0,81.88207639543242,9,48.77819210207861
3.8754249415180544,7.062312760845842,50.0,67.63641098165441,2,60.08692175446188
2.9743377593311524,5.389460730703804,70.33322417831582,66.67489791812349,4,62.51942268426976
5.628494665190548,7.687476908688162,60.29253395758849,66.26630323850598,6,76.22915092147392
3.1839518489575784,5.927789111512794,52.23883100720208,33.57822914571401,4,52.031882655339125
2.175392597329417,9.691787272588318,50.0,62.099510005980974,9,49.22206324208164
7.931297537843108,9.317262193627387,57.599978983938605,80.69759863188402,2,100.0
4.548447399026928,7.906146139533351,56.41751128055279,69.66383135644355,10,68.4984135475521
5.1350564093758475,9.04151005715466,50.0,50.722203552163755,6,60.39131646879865
2.1505036275730864,7.097187025185072,53.56002175825381,84.46946882788056,1,71.98632017212012
3.9112345509496347,8.148156241562523,50.0,65.52099760684906,9,63.847157685701895
5.2218451794197325,9.216580442953113,50.0,51.67636764007715,1,74.67086957659976
2.6980128451553944,7.3682480226914695,50.0,100.0,8,59.55888217727392
5.751396036691344,6.6172192427285745,50.0,54.20241108268367,9,69.20663100819087
3.79872262016239,4.443067062734326,80.64770785872847,83.19237266928565,1,87.34748524573348
4.416612500413446,6.875299711417759,50.0,58.46028848718093,1,76.36962084122247
3.796586775541206,8.235134776843466,50.0,72.03740251860732,10,58.82161693677927
8.704556369017876,8.418450141351444,58.060052826759396,56.46728554947737,7,89.56774766207121
4.973005550524132,7.756547598577614,68.52378372810455,51.410437280895124,10,49.04748850499445
2.8845781420881993,6.18805135755664,50.0,77.83303817007113,5,60.74573870967886
6.645089824206378,4.034767646578614,52.99713243961542,76.079358177016,3,86.36371621847026
2.5583127000579555,6.257177352992898,50.0,87.16974166328598,9,50.19429195275266
5.4177271900095105,6.543482693419072,82.5003403767808,69.48427104556205,2,87.05214598801615
1.0806597522404489,6.530606549214979,53.94496250673728,100.0,6,64.24631026549174
2.343627902203139,7.927834535466887,50.0,74.02520001155554,4,60.26250467862165
5.393722471738247,9.97851461652226,55.93179996994637,78.50162021855819,5,85.14270562859127
6.476933159990821,7.18529380276164,50.0,49.62356132339157,2,79.53310254212396
5.342736562379941,6.674902316265308,69.26081496365954,60.78873527316204,1,84.66708851085177
4.768703435223519,6.611167280493861,53.76057633703303,77.79519550773966,9,64.30838740224718
4.3977926088214225,7.186577150361571,50.0,68.73658356379626,3,68.71148657344314
2.0429560192651453,5.757559359477401,50.0,72.81524702551954,6,55.8367519553554
3.5603115832105825,7.180297838119083,50.0,57.7525936642871,9,53.958952551258015
4.078722458080425,7.6762185044977,50.0,71.82920460207433,1,78.92786620657441
7.114244452437831,7.314529095361732,50.0,71.77818837387603,5,84.48403349910757
5.687236579136923,7.686312901007172,50.0,52.293474701721415,4,73.4269256536916
1.473919689274532,7.650621414022803,84.75391532422745,79.63824767020886,3,78.3371454519214
5.64816793878959,4.342154976630335,50.0,44.49902579623047,2,67.27452231889829
4.229835439167367,7.955305237593105,74.69054206859677,72.76357120896526,3,83.06101963332695
3.6461559993880828,5.993477731506319,82.0055311666637,96.4838904073825,1,88.77864741964665
6.2233525776817356,5.356241255494063,80.84585990664604,80.20825806728624,1,100.0
7.061999044991902,5.343322258217506,58.831285361767485,80.11448869055656,8,74.07664720889484
6.862560238232398,7.650312415708794,50.0,56.53859987576973,5,76.21491678206374
3.3215649535547227,6.66613760916272,54.82666026107519,96.5359307972929,2,78.4571024562349
4.381575248297571,4.477046824021884,83.08342865129654,90.65077141903433,3,76.91179190698942
5.662526862807128,7.717056722788425,50.0,57.346149656566496,2,79.4542719796919
6.951090254244718,4.840587803801759,51.84019432972149,62.87855137277685,10,64.12379687704914
4.04165152430942,7.209732037777316,50.0,88.81984067390032,2,81.31503847270972
4.628682046672366,7.357748388509581,64.02903261809212,96.94221067475137,4,86.95037019370079
2.7873300519879436,8.328365622542567,68.68516196542247,51.02970947364568,4,67.37719717390887
2.6075867518386584,9.672527179700278,65.80457817425304,54.944338454131355,7,64.50942426040177
6.625051644788396,4.952985511149187,62.2195133027614,67.84319865366746,2,79.32803420158986
7.712480057141645,6.921289215905426,50.0,37.43358955836227,9,73.2051056071811
4.855979756839332,6.585497057433674,50.0,70.28567740314135,7,65.36428858579916
7.007065795784048,7.650624528941443,59.73290761157065,87.78615271044977,4,98.30881378984257
5.723272050095268,7.323503156400428,56.926438128724115,48.42044475646376,7,66.61104811645683
3.7097604907897512,6.47118063589507,57.18072548807679,71.9066044746263,10,57.936590990122916
5.722791211016828,6.338646717083717,50.0,61.2734394250703,1,81.58480293751856
8.076073132931938,5.325323717223929,67.52522589602856,94.59918923130877,7,100.0
4.928347921780097,8.481792373609764,50.0,61.453122068004234,6,73.07185767515197
8.129287311628012,7.688806272399294,50.0,92.78489631622875,9,88.92127719678864
0.0,8.376652296692706,84.58224957973371,61.03817393783159,8,50.122004614983815
6.643805008750448,6.534405795286729,50.0,81.56763708001195,2,87.09742467701827
5.174094136476342,6.014746796958354,50.0,73.77918427544049,3,79.98759450264039
4.401985299068265,5.3825274000561585,50.0,67.92591000228548,3,71.89485469182738
5.183521553071005,7.538376375610989,54.6006469242522,58.142071464190366,6,66.9207965059658
1.0248621707982144,5.4403101632076485,50.0,74.8464313197684,2,63.57605000220303
4.560656224324976,9.772994603449826,66.00468282493974,63.39197106272632,2,88.87646762419482
5.7142251430234925,5.038536128359839,82.3387446140727,59.65350662787793,4,88.32875455936637
7.955788089483033,7.410490178818753,50.0,92.0908411206358,1,100.0
3.9634595634527052,9.350282060820678,50.0,78.2129534123984,1,82.30209132823121
3.3830127942136246,7.898634638895714,72.81470225393201,79.65458427860804,1,83.43603364170606
3.996485912830927,7.263510568737669,50.0,64.12602222081605,5,78.17841976379361
6.830804235404148,5.547274529557157,50.0,67.21032479375043,9,69.18191308011836
5.657502219319369,4.927346217148444,71.62187485479322,66.27134998973332,4,84.46316593805462
3.9404795924659224,8.15507516337638,53.36283980689046,75.05858368751466,8,71.2186717652013
6.026534866226712,9.259220861162419,53.29315593744225,79.62705177763759,7,82.07016306676633
5.194155098696081,6.341725014282742,50.0,69.54622944532642,6,69.750271421394
6.937289981065779,5.291407738575473,50.0,58.110325087290384,9,68.12731113512548
3.5958938122452953,3.3127458541764723,77.89186589564717,81.40855685539823,10,66.8251594583785
4.3446757068044635,5.528852734506193,50.0,70.50105802312504,1,73.12147953607187
4.215783693735685,6.82951473625144,50.0,48.38745431843529,7,52.550028220701854
2.072970103735763,9.398684861255102,50.0,37.97057874880468,9,46.01187374126993
